"total","unplanned","startperiod","endperiod"
"1","1","2016-11-21 00:00:00","2016-12-19 00:00:00"
"21","19","2016-12-19 00:00:00","2017-01-16 00:00:00"
"36","31","2017-01-16 00:00:00","2017-02-13 00:00:00"
"36","28","2017-02-13 00:00:00","2017-03-13 00:00:00"
"40","37","2017-03-13 00:00:00","2017-04-10 00:00:00"
"40","30","2017-04-10 00:00:00","2017-05-08 00:00:00"
"30","27","2017-05-08 00:00:00","2017-06-05 00:00:00"
"50","28","2017-06-05 00:00:00","2017-07-03 00:00:00"
"51","29","2017-07-03 00:00:00","2017-07-31 00:00:00"
"62","28","2017-07-31 00:00:00","2017-08-28 00:00:00"
"49","37","2017-08-28 00:00:00","2017-09-25 00:00:00"
"24","19","2017-09-25 00:00:00","2017-10-23 00:00:00"
"37","32","2017-10-23 00:00:00","2017-11-20 00:00:00"
"25","22","2017-11-20 00:00:00","2017-12-18 00:00:00"
"76","38","2017-12-18 00:00:00","2018-01-15 00:00:00"
"43","33","2018-01-15 00:00:00","2018-02-12 00:00:00"
"54","44","2018-02-12 00:00:00","2018-03-12 00:00:00"
"38","35","2018-03-12 00:00:00","2018-04-09 00:00:00"
"44","36","2018-04-09 00:00:00","2018-05-07 00:00:00"
"36","29","2018-05-07 00:00:00","2018-06-04 00:00:00"
"71","41","2018-06-04 00:00:00","2018-07-02 00:00:00"
"53","36","2018-07-02 00:00:00","2018-07-30 00:00:00"
"49","23","2018-07-30 00:00:00","2018-08-27 00:00:00"
"54","29","2018-08-27 00:00:00","2018-09-24 00:00:00"
"24","21","2018-09-24 00:00:00","2018-10-22 00:00:00"
"27","24","2018-10-22 00:00:00","2018-11-19 00:00:00"
"31","23","2018-11-19 00:00:00","2018-12-17 00:00:00"
"111","37","2018-12-17 00:00:00","2019-01-14 00:00:00"
"40","39","2019-01-14 00:00:00","2019-02-11 00:00:00"
"32","30","2019-02-11 00:00:00","2019-03-11 00:00:00"
"36","29","2019-03-11 00:00:00","2019-04-08 00:00:00"
"50","29","2019-04-08 00:00:00","2019-05-06 00:00:00"
"52","28","2019-05-06 00:00:00","2019-06-03 00:00:00"
"52","22","2019-06-03 00:00:00","2019-07-01 00:00:00"
"48","24","2019-07-01 00:00:00","2019-07-29 00:00:00"
"61","32","2019-07-29 00:00:00","2019-08-26 00:00:00"
"58","46","2019-08-26 00:00:00","2019-09-23 00:00:00"
"36","27","2019-09-23 00:00:00","2019-10-21 00:00:00"
"39","31","2019-10-21 00:00:00","2019-11-18 00:00:00"
"48","39","2019-11-18 00:00:00","2019-12-16 00:00:00"
"127","39","2019-12-16 00:00:00","2020-01-13 00:00:00"
"44","40","2020-01-13 00:00:00","2020-02-10 00:00:00"
"55","47","2020-02-10 00:00:00","2020-03-09 00:00:00"
"31","31","2020-03-09 00:00:00","2020-04-06 00:00:00"
"37","34","2020-04-06 00:00:00","2020-05-04 00:00:00"
"38","36","2020-05-04 00:00:00","2020-06-01 00:00:00"
"47","46","2020-06-01 00:00:00","2020-06-29 00:00:00"
"77","61","2020-06-29 00:00:00","2020-07-27 00:00:00"
"81","56","2020-07-27 00:00:00","2020-08-24 00:00:00"
"62","39","2020-08-24 00:00:00","2020-09-21 00:00:00"
"51","45","2020-09-21 00:00:00","2020-10-19 00:00:00"
"51","46","2020-10-19 00:00:00","2020-11-16 00:00:00"
"48","41","2020-11-16 00:00:00","2020-12-14 00:00:00"
"129","24","2020-12-14 00:00:00","2021-01-11 00:00:00"
"36","29","2021-01-11 00:00:00","2021-02-08 00:00:00"
"46","38","2021-02-08 00:00:00","2021-03-08 00:00:00"
"69","49","2021-03-08 00:00:00","2021-04-05 00:00:00"
"63","56","2021-04-05 00:00:00","2021-05-03 00:00:00"
"55","39","2021-05-03 00:00:00","2021-05-31 00:00:00"
"37","31","2021-05-31 00:00:00","2021-06-28 00:00:00"
"74","52","2021-06-28 00:00:00","2021-07-26 00:00:00"
"45","25","2021-07-26 00:00:00","2021-08-23 00:00:00"
"83","66","2021-08-23 00:00:00","2021-09-20 00:00:00"
"93","53","2021-09-20 00:00:00","2021-10-18 00:00:00"
"45","39","2021-10-18 00:00:00","2021-11-15 00:00:00"
"39","35","2021-11-15 00:00:00","2021-12-13 00:00:00"
"130","53","2021-12-13 00:00:00","2022-01-10 00:00:00"
"50","48","2022-01-10 00:00:00","2022-02-07 00:00:00"
"77","72","2022-02-07 00:00:00","2022-03-07 00:00:00"
"40","38","2022-03-07 00:00:00","2022-04-04 00:00:00"
"49","42","2022-04-04 00:00:00","2022-05-02 00:00:00"
"46","44","2022-05-02 00:00:00","2022-05-30 00:00:00"
"71","69","2022-05-30 00:00:00","2022-06-27 00:00:00"
"84","78","2022-06-27 00:00:00","2022-07-25 00:00:00"
"54","47","2022-07-25 00:00:00","2022-08-22 00:00:00"
"106","98","2022-08-22 00:00:00","2022-09-19 00:00:00"
"97","90","2022-09-19 00:00:00","2022-10-17 00:00:00"
"94","83","2022-10-17 00:00:00","2022-11-14 00:00:00"
"69","58","2022-11-14 00:00:00","2022-12-12 00:00:00"
"154","108","2022-12-12 00:00:00","2023-01-09 00:00:00"
"55","48","2023-01-09 00:00:00","2023-02-06 00:00:00"
"64","61","2023-02-06 00:00:00","2023-03-06 00:00:00"
"94","91","2023-03-06 00:00:00","2023-04-03 00:00:00"
"98","90","2023-04-03 00:00:00","2023-05-01 00:00:00"
"96","89","2023-05-01 00:00:00","2023-05-29 00:00:00"
"122","117","2023-05-29 00:00:00","2023-06-26 00:00:00"
"108","87","2023-06-26 00:00:00","2023-07-24 00:00:00"
"114","91","2023-07-24 00:00:00","2023-08-21 00:00:00"
"124","105","2023-08-21 00:00:00","2023-09-18 00:00:00"
"106","97","2023-09-18 00:00:00","2023-10-16 00:00:00"
"86","73","2023-10-16 00:00:00","2023-11-13 00:00:00"
"81","60","2023-11-13 00:00:00","2023-12-11 00:00:00"
"17","0","2023-12-11 00:00:00","2024-01-08 00:00:00"
